Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,10875,False,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
2,13178,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0
3,8342,False,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,r,Fail,0
4,11149,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0
5,11597,False,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
6,8710,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0
7,12871,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0
8,11594,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0
9,4805,False,r,Indep_Success,1,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0
10,12814,False,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0
11,8472,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0
12,2990,False,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,r,Fail,0
13,11208,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,b,Coop_Success,2,r,Fail,0,r,Fail,0,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0
14,7770,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0
15,5413,False,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
16,7127,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0
17,1900,False,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1
18,6299,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,r,Indep_Success,1,r,Fail,0
19,12852,False,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Fail,0,b,Fail,0
20,7383,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0
21,11108,False,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1
22,8551,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,r,Fail,0
23,6089,False,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Indep_Success,1
24,5000,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
25,8473,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0
26,7693,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1
27,7794,False,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0
28,12006,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,r,Fail,0
29,11557,False,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
30,4854,False,r,Indep_Success,1,b,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0
31,12286,False,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,b,Fail,0,r,Fail,0,r,Indep_Success,1,r,Fail,0
32,9905,False,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1
33,10277,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0
34,8151,False,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0,r,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1
35,15124,True,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2
